Month,Day,HDD65_mean,HDD65_min,HDD65_max,HDD65_p10,HDD65_p90,CDD65_mean,CDD65_min,CDD65_max,CDD65_p10,CDD65_p90,Tmean_mean,Tmin_mean,Tmax_mean,Samples,DayOfYear
7,16,0.0,0.0,0.0,0.0,0.0,4.730000000000004,2.730000000000004,11.189999999999998,2.730000000000004,11.189999999999998,69.73,60.54,78.92,18,197
7,17,0.0,0.0,0.0,0.0,0.0,5.560000000000002,3.180000000000007,12.269999999999996,3.180000000000007,12.269999999999996,70.56,60.339999999999996,80.78,18,198
7,18,0.0,0.0,0.0,0.0,0.0,7.5600000000000005,3.539999999999992,14.430000000000007,3.539999999999992,14.430000000000007,72.56,64.0,81.12,18,199
7,19,0.0,0.0,0.0,0.0,0.0,12.120000000000001,3.0900000000000034,16.05000000000001,3.0900000000000034,16.05000000000001,77.12,68.04,86.2,18,200
7,20,0.0,0.0,0.0,0.0,0.0,12.480000000000006,1.9200000000000017,15.960000000000008,1.9200000000000017,15.960000000000008,77.48,68.47999999999999,86.48,18,201
7,21,0.0,0.0,0.0,0.0,0.0,11.249999999999998,4.97999999999999,13.170000000000002,4.97999999999999,13.170000000000002,76.25,65.6,86.9,18,202
7,22,0.0,0.0,0.0,0.0,0.0,8.18,6.780000000000001,10.379999999999995,6.780000000000001,10.379999999999995,73.18,63.199999999999996,83.16000000000001,18,203
7,23,0.0,0.0,0.0,0.0,0.0,6.9999999999999964,4.799999999999997,12.0,4.799999999999997,12.0,72.0,63.300000000000004,80.69999999999999,18,204
7,24,0.0,0.0,0.0,0.0,0.0,5.850000000000004,3.719999999999999,7.230000000000004,3.719999999999999,7.230000000000004,70.85000000000001,61.660000000000004,80.04,18,205
7,25,0.0,0.0,0.0,0.0,0.0,6.220000000000001,5.789999999999992,6.420000000000002,5.789999999999992,6.420000000000002,71.22,60.239999999999995,82.2,18,206
7,26,0.0,0.0,0.0,0.0,0.0,7.139999999999997,5.8799999999999955,7.859999999999999,5.8799999999999955,7.859999999999999,72.14,64.0,80.28,18,207
7,27,0.0,0.0,0.0,0.0,0.0,7.989999999999998,4.439999999999998,9.39,4.439999999999998,9.39,72.99,68.19999999999999,77.78,18,208
7,28,0.0,0.0,0.0,0.0,0.0,11.83,7.859999999999999,14.969999999999999,7.859999999999999,14.969999999999999,76.83,66.06,87.6,18,209
7,29,0.0,0.0,0.0,0.0,0.0,11.23,3.4499999999999886,15.510000000000005,3.4499999999999886,15.510000000000005,76.23,65.54,86.92,18,210
7,30,0.0,0.0,0.0,0.0,0.0,9.430000000000001,2.6400000000000006,12.450000000000003,2.6400000000000006,12.450000000000003,74.43,66.38000000000001,82.48,18,211
7,31,0.0,0.0,0.0,0.0,0.0,9.940000000000001,4.799999999999997,11.730000000000004,4.799999999999997,11.730000000000004,74.94,65.30000000000001,84.58,18,212
8,1,0.0,0.0,0.0,0.0,0.0,13.07,8.850000000000009,17.75999999999999,8.850000000000009,15.239999999999998,78.07,67.68,88.46,18,213
8,2,0.0,0.0,0.0,0.0,0.0,14.850000000000001,9.47999999999999,16.590000000000003,11.747999999999998,16.590000000000003,79.85,68.74,90.96000000000001,18,214
8,3,0.0,0.0,0.0,0.0,0.0,13.669999999999998,9.030000000000001,15.599999999999994,9.849000000000002,15.599999999999994,78.67,69.7,87.64,18,215
8,4,0.0,0.0,0.0,0.0,0.0,12.130000000000006,7.680000000000007,14.52000000000001,7.680000000000007,14.52000000000001,77.13000000000001,67.84,86.42000000000002,18,216
8,5,0.0,0.0,0.0,0.0,0.0,9.590000000000002,8.939999999999998,11.189999999999998,9.066000000000003,11.189999999999998,74.59,63.72,85.46,18,217
8,6,0.0,0.0,0.0,0.0,0.0,9.470000000000002,5.969999999999999,14.790000000000006,7.481999999999997,14.790000000000006,74.47,64.74,84.2,18,218
8,7,0.0,0.0,0.0,0.0,0.0,13.150000000000007,6.780000000000001,14.790000000000006,8.607000000000001,14.790000000000006,78.15,68.66000000000001,87.64000000000001,18,219
8,8,0.0,0.0,0.0,0.0,0.0,13.71,8.400000000000006,14.969999999999999,10.03800000000001,14.969999999999999,78.71,70.64,86.78,18,220
8,9,0.0,0.0,0.0,0.0,0.0,9.009999999999993,1.8299999999999983,11.819999999999993,6.303,11.819999999999993,74.00999999999999,64.58,83.44,18,221
8,10,3.0833333333333317,0.0,5.549999999999997,0.0,5.549999999999997,2.943333333333333,0.0,10.560000000000002,0.0,10.560000000000002,64.86,57.480000000000004,72.24000000000001,18,222
8,11,0.0,0.0,0.0,0.0,0.0,3.910000000000006,2.5500000000000114,6.780000000000001,2.5500000000000114,6.780000000000001,68.91000000000001,57.64,80.18,18,223
8,12,0.0,0.0,0.0,0.0,0.0,9.769999999999998,7.22999999999999,12.540000000000006,8.489999999999998,10.776000000000002,74.77,63.78,85.76,18,224
8,13,0.0,0.0,0.0,0.0,0.0,8.630000000000003,5.700000000000003,10.830000000000013,5.700000000000003,10.011000000000003,73.63000000000001,66.12,81.14,18,225
8,14,0.0,0.0,0.0,0.0,0.0,7.400000000000001,4.890000000000001,11.909999999999997,4.890000000000001,10.965000000000002,72.4,63.52000000000001,81.28,18,226
8,15,0.0,0.0,0.0,0.0,0.0,6.960000000000004,3.0,10.02000000000001,5.2050000000000045,10.02000000000001,71.96000000000001,61.68,82.24,18,227
8,16,0.0,0.0,0.0,0.0,0.0,10.239999999999998,6.8700000000000045,12.900000000000006,7.689000000000006,12.900000000000006,75.24,65.34,85.14,18,228
8,17,0.0,0.0,0.0,0.0,0.0,9.110000000000003,7.5,12.180000000000007,7.5,12.180000000000007,74.11,64.62,83.60000000000001,18,229
8,18,0.7333333333333295,0.0,1.3199999999999932,0.0,1.3199999999999932,4.563333333333336,0.0,12.810000000000002,0.0,11.865000000000007,68.83,59.900000000000006,77.76,18,230
8,19,0.7333333333333335,0.0,1.3200000000000003,0.0,1.3200000000000003,2.963333333333332,0.0,13.800000000000011,0.0,9.201,67.22999999999999,57.52000000000001,76.94,18,231
8,20,0.0,0.0,0.0,0.0,0.0,2.7999999999999954,0.5699999999999932,13.260000000000005,0.5699999999999932,6.267000000000006,67.8,60.120000000000005,75.48,18,232
8,21,3.1899999999999986,0.0,5.369999999999997,0.0,5.369999999999997,1.8999999999999995,0.0,10.379999999999995,0.0,5.466000000000003,63.71,58.28,69.14,18,233
8,22,0.9800000000000024,0.0,1.5900000000000034,0.0,1.5900000000000034,3.4100000000000015,0.0,15.329999999999998,0.0,9.97500000000001,67.43,58.919999999999995,75.94,18,234
8,23,0.0,0.0,0.0,0.0,0.0,3.3700000000000063,1.9200000000000017,5.519999999999996,1.9200000000000017,4.890000000000002,68.37,58.919999999999995,77.82,18,235
8,24,0.0,0.0,0.0,0.0,0.0,7.42,2.460000000000008,9.75,3.215999999999997,9.75,72.42,61.38000000000001,83.46000000000001,18,236
8,25,0.0,0.0,0.0,0.0,0.0,9.520000000000001,0.030000000000001137,13.530000000000001,3.4320000000000013,13.530000000000001,74.52000000000001,64.16000000000001,84.88,18,237
8,26,0.06666666666666761,0.0,0.6000000000000085,0.0,0.180000000000003,8.156666666666663,0.0,11.819999999999993,3.2970000000000064,11.819999999999993,73.08999999999999,63.78,82.4,18,238
8,27,0.13666666666666633,0.0,1.2299999999999969,0.0,0.36899999999999994,9.136666666666665,0.0,12.629999999999995,4.494000000000002,12.629999999999995,74.0,63.980000000000004,84.02,18,239
8,28,0.0,0.0,0.0,0.0,0.0,9.519999999999996,2.0999999999999943,14.069999999999993,6.887999999999998,14.069999999999993,74.52,64.54,84.5,18,240
8,29,0.0,0.0,0.0,0.0,0.0,10.899999999999999,6.060000000000002,17.129999999999995,8.139000000000003,17.129999999999995,75.9,65.16000000000001,86.64,18,241
